Address,Area,Beds,Full Baths,Half Baths,Locality,Lot Size,Price
0 Gateway,,,,,"Rock Springs, WY 82901",,"$725,000 "
1003 Winchester Blvd.,,4,4,,"Rock Springs, WY 82901",0.21 Acres,"$452,900 "
600 Talladega,"3,154",5,3,,"Rock Springs, WY 82901",,"$396,900 "
3239 Spearhead Way,"3,076",4,3,1,"Rock Springs, WY 82901","Under 1/2 Acre, ","$389,900 "
522 Emerald Street,"1,172",3,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000 "
1302 Veteran's Drive,"1,932",4,2,,"Rock Springs, WY 82901",0.27 Acres,"$252,900 "
1021 Cypress Cir,"1,676",4,3,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$210,000 "
913 Madison Dr,"1,344",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000 "
1344 Teton Street,"1,920",3,2,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$199,900 "
4 Minnies Lane,"1,664",3,2,,"Rock Springs, WY 82901",2.02 Acres,"$196,900 "
9339 Sd 26900,"2,560",,,,"Rocksprings, TX 78880",,"$1,700,000 "
RR674P13 Hwy 377,"2,000",,,,"Rocksprings, TX 78880",,"$1,100,000 "
0 Hwy 41,,,,,"Rocksprings, TX 78880",,"$1,080,000 "
9339 Sd 26900,"2,560",,,,"Rocksprings, TX 78880",,"$908,350 "
CR450 Hwy 377,,,,,"Rocksprings, TX 78880",,"$905,000 "
Cr 240 Cr 240,"1,398",,,,"Rocksprings, TX 78880",,"$695,000 "
RR674 Hwy 377,"1,738",,,,"Rocksprings, TX 78880",,"$605,000 "
9770a Sd 26900,"1,080",,,,"Rocksprings, TX 78880",,"$559,805 "
Lot17 CR 2630,,,,,"Rocksprings, TX 78880",,"$504,000 "
"Tr12,16 CR 520",,,,,"Rocksprings, TX 78880",,"$410,000 "
32575 S Shadow Mountain Road,"2,318",3,2,,"Black Canyon City, AZ 85324",,"$299,900 "
32750 S Shangrila Drive,"2,120",3,2,,"Black Canyon City, AZ 85324",,"$167,500 "
0000 Black Canyon Highway,,,,,"Black Canyon City, AZ 85324",5 Acres,"$150,000 "
34775 S CHOLLA Drive,"1,220",3,2,,"Black Canyon City, AZ 85324",,"$129,500 "
33403 S. HA-WA-SI TERRACE,"2,000",4,2,,"BLACK CANYON CITY, AZ 85324",,"$129,000 "
34263 S Bertha Street,"2,260",5,2,,"Black Canyon City, AZ 85324",,"$80,000 "
33160 S Canyon Road,"1,248",3,2,,"Black Canyon City, AZ 85324",,"$77,900 "
19421 E Todd Evans Road,"1,404",3,2,,"Black Canyon City, AZ 85324",,"$70,500 "
18688 E AGUA Vista,,,,,"Black Canyon City, AZ 85324",0.7 Acres,"$70,000 "
50600 N Old Black Canyon Road,,,,,"Black Canyon City, AZ 85324",3 Acres,"$67,500 "
20101 E SQUAW VALLEY Road,,,,,"Black Canyon City, AZ 85324",,"$54,900 "
33259 S Canyon Road,"1,056",3,1,,"Black Canyon City, AZ 85324",,"$45,600 "
34558 S ROADRUNNER RD,784,2,1,,"Black Canyon City, AZ 85324",Under 1/2 Acre,"$40,000 "
19260 E Scenic Loop Road,,,,,"Black Canyon City, AZ 85324",2.35 Acres,"$30,000 "
19000 E MAREN Avenue,,,,,"Black Canyon City, AZ 85324",2.05 Acres,"$29,000 "
19350 E SAGUARO Drive,,,,,"Black Canyon City, AZ 85324",0.73 Acres,"$28,995 "
20650 E Amethyst Place,,,,,"Black Canyon City, AZ 85324",0.31 Acres,"$15,000 "
